"","pc4","n"
"195","1402",9545
"196","1403",9410
"197","1404",3585
"198","1405",2845
"199","1406",3430
"200","1411",10495
"201","1412",7735
"202","1421",6085
"203","1422",15310
"204","1423",5530
"205","1424",4760
"206","1426",895
"207","1427",980
"208","1428",115
"209","1431",13480
"210","1432",10545
"211","1433",9255
"212","1435",4415
"213","1436",510
"214","1437",75
"215","1438",165
"216","1441",15140
"217","1442",7245
"218","1443",8115
"219","1444",6785
"220","1445",9605
"221","1446",5040
"222","1447",12350
"223","1448",19265
"224","1451",405
"225","1452",1815
"226","1454",550
"227","1456",1950
"228","1458",180
"229","1461",4485
"230","1462",5745
"231","1463",625
"232","1464",775
"233","1471",800
"234","1472",700
"235","1473",780
"236","1474",3630
"237","1475",525
"238","1476",115
"239","1477",170
"240","1481",110
"241","1482",140
"242","1483",4270
"243","1484",885
"244","1485",85
"245","1486",755
"246","1487",145
"247","1488",220
"248","1489",150
"249","1501",6515
"250","1502",8890
"251","1503",11390
"252","1504",8415
"253","1505",7080
"254","1506",14125
"255","1507",13400
"256","1508",5130
"257","1509",6495
"258","1511",9695
"259","1521",12300
"260","1525",570
"261","1531",13255
"262","1534",485
"263","1536",320
"264","1541",11255
"265","1544",8515
"266","1546",685
"267","1551",5090
"268","1561",8330
"269","1562",9000
"270","1566",13250
"271","1567",11620
"272","1601",7610
"273","1602",11285
"274","1606",4300
"275","1607",1645
"276","1608",1535
"277","1609",105
"278","1611",10160
"279","1613",9790
"280","1614",2265
"281","1616",8695
"282","1617",1830
"283","1619",7225
"284","1621",5825
"285","1622",7855
"286","1623",2595
"287","1624",5990
"288","1625",9940
"289","1627",15
"290","1628",20400
"291","1631",435
"292","1633",3455
"293","1634",525
"294","1636",1260
"295","1641",1060
"296","1642",45
"297","1643",475
"298","1645",2975
"299","1646",75
"300","1647",2675
"301","1648",3825
"302","1652",550
"303","1654",750
"304","1655",930
"305","1657",2050
"306","1658",170
"307","1661",425
"308","1662",300
"309","1663",115
"310","1671",8655
"311","1674",1985
"312","1676",1070
"313","1678",865
"314","1679",2545
"315","1681",280
"316","1682",230
"317","1683",205
"318","1684",590
"319","1685",480
"320","1686",130
"321","1687",6345
"322","1688",2600
"323","1689",17600
"324","1691",710
"325","1692",20
"326","1693",8170
"327","1695",5420
"328","1696",1545
"329","1697",840
"330","1701",9175
"331","1702",8505
"332","1703",12735
"333","1704",10070
"334","1705",17010
"335","1706",3715
"336","1711",1590
"337","1713",5975
"338","1715",4815
"339","1716",2135
"340","1718",3940
"341","1719",465
"342","1721",6045
"343","1722",6865
"344","1723",5985
"345","1724",3840
"346","1731",3505
"347","1732",780
"348","1733",3320
"349","1734",395
"350","1735",2275
"351","1736",395
"352","1738",2760
"353","1741",13140
"354","1742",6565
"355","1744",1845
"356","1746",1685
"357","1747",3855
"358","1749",6090
"359","1751",2115
"360","1752",735
"361","1753",665
"362","1754",885
"363","1755",1650
"364","1756",2625
"365","1757",705
"366","1759",2405
"367","1761",8735
"368","1764",3810
"369","1766",2380
"370","1767",1070
"371","1768",910
"372","1769",175
"373","1771",6080
"374","1773",575
"375","1774",2195
"376","1775",4330
"377","1777",5240
"378","1778",915
"379","1779",2430
"380","1781",9175
"381","1782",10330
"382","1783",2615
"383","1784",9295
"384","1785",9090
"385","1786",150
"386","1787",3480
"387","1788",11715
"388","1789",580
"389","1791",7205
"390","1792",1465
"391","1793",335
"392","1794",1315
"393","1795",1160
"394","1796",1360
"395","1797",970
"396","1811",5460
"397","1812",220
"398","1813",9025
"399","1814",9635
"400","1815",7200
"401","1816",8540
"402","1817",4290
"403","1821",1660
"404","1822",6455
"405","1823",7420
"406","1824",7720
"407","1825",9095
"408","1826",6495
"409","1827",10325
"410","1829",4050
"411","1831",2395
"412","1832",265
"413","1834",5860
"414","1841",2105
"415","1842",605
"416","1843",710
"417","1844",230
"418","1846",395
"419","1847",260
"420","1851",12695
"421","1852",10415
"422","1853",1200
"423","1861",6455
"424","1862",6205
"425","1865",335
"426","1871",4765
"427","1873",1460
"428","1901",14765
"429","1902",8595
"430","1906",7775
"431","1911",13400
"432","1921",5085
"433","1931",4590
"434","1934",3560
"435","1935",2570
"436","1941",3730
"437","1942",2490
"438","1943",5365
"439","1944",7205
"440","1945",7235
"441","1946",4665
"442","1947",3865
"443","1948",6165
"444","1949",2150
"445","1951",5710
"446","1961",1280
"447","1962",7800
"448","1963",5570
"449","1964",7010
"450","1965",5925
"451","1966",5085
"452","1967",5210
"453","1968",310
"454","1969",1260
"455","1971",8960
"456","1972",8230
"457","1973",5900
"458","1974",6215
"459","1975",2870
"460","1976",315
"461","1981",2135
"462","1985",3155
"463","1991",13095
"464","1992",1985
"465","2011",14600
"466","2012",13090
"467","2013",8295
"468","2014",8875
"469","2015",5700
"470","2019",150
"471","2021",9150
"472","2022",9170
"473","2023",13395
"474","2024",9275
"475","2025",9790
"476","2026",5670
"477","2031",2030
"478","2032",8215
"479","2033",13130
"480","2034",10250
"481","2035",9255
"482","2036",7625
"483","2037",9380
"484","2041",7870
"485","2042",8570
"486","2051",4570
"487","2061",6745
"488","2063",600
"489","2064",3545
"490","2065",315
"491","2071",7240
"492","2082",3360
"493","2101",7610
"494","2102",5505
"495","2103",3790
"496","2104",3730
"497","2105",3900
"498","2106",3055
"499","2111",4850
"500","2114",2195
"501","2116",1025
"502","2121",5420
"503","2131",10995
"504","2132",14035
"505","2133",7815
"506","2134",28080
"507","2135",18970
"508","2136",2185
"509","2141",4915
"510","2142",1830
"511","2143",140
"512","2144",1000
"513","2151",15840
"514","2152",12555
"515","2153",3360
"516","2154",335
"517","2155",55
"518","2156",375
"519","2157",1265
"520","2158",480
"521","2159",410
"522","2161",13150
"523","2162",7480
"524","2163",2815
"525","2165",3335
"526","2171",10450
"527","2172",5635
"528","2181",9915
"529","2182",12905
"530","2191",2395
"531","2201",13570
"532","2202",8050
"533","2203",4950
"534","2204",1035
"535","2211",14735
"536","2212",995
"537","2215",16475
"538","2216",800
"539","2221",13470
"540","2222",20
"541","2223",6245
"542","2224",9675
"543","2225",14055
"544","2231",16405
"545","2232",825
"546","2235",6270
"547","2236",NA
"548","2241",10370
"549","2242",9525
"550","2243",2945
"551","2244",2075
"552","2245",2185
"553","2251",11215
"554","2252",5360
"555","2253",8205
"556","2254",840
"557","2261",4970
"558","2262",3305
"559","2263",6035
"560","2264",8655
"561","2265",4935
"562","2266",6625
"563","2267",410
"564","2271",7260
"565","2272",8520
"566","2273",11025
"567","2274",11665
"568","2275",4820
"569","2281",4720
"570","2282",10490
"571","2283",6480
"572","2284",5165
"573","2285",8680
"574","2286",13430
"575","2287",4475
"576","2288",4365
"577","2289",1835
"578","2291",13985
"579","2292",2825
"580","2295",3920
"581","2311",11355
"582","2312",15260
"583","2313",12375
"584","2314",6200
"585","2315",8715
"586","2316",10725
"587","2317",10720
"588","2318",3245
"589","2321",12795
"590","2322",225
"591","2323",170
"592","2324",9965
"593","2331",10705
"594","2332",10545
"595","2333",4300
"596","2334",2805
"597","2341",10105
"598","2342",4570
"599","2343",11270
"600","2351",5335
"601","2352",8935
"602","2353",13465
"603","2355",1715
"604","2361",4950
"605","2362",165
"606","2371",10395
"607","2374",750
"608","2375",1645
"609","2376",715
"610","2377",3740
"611","2381",5845
"612","2382",3815
"613","2391",6330
"614","2394",5860
"615","2396",4130
"616","2401",9370
"617","2402",13500
"618","2403",10110
"619","2404",5355
"620","2405",8235
"621","2406",9710
"622","2407",885
"623","2408",17955
"624","2409",45
"625","2411",17715
"626","2412",2030
"627","2415",1940
"628","2421",9385
"629","2431",1820
"630","2432",195
"631","2435",3060
"632","2441",4390
"633","2445",1220
"634","2451",4825
"635","2461",9725
"636","2465",1270
"637","2471",1855
"638","2481",3700
"639","2491",245
"640","2492",12275
"641","2493",8085
"642","2495",170
"643","2496",11520
"644","2497",10200
"645","2498",5715
"646","2511",5580
"647","2512",14850
"648","2513",8245
"649","2514",3890
"650","2515",13180
"651","2516",10540
"652","2517",11620
"653","2518",11915
"654","2521",12730
"655","2522",12930
"656","2523",5680
"657","2524",6725
"658","2525",17340
"659","2526",12870
"660","2531",9390
"661","2532",6035
"662","2533",7410
"663","2541",8090
"664","2542",10615
"665","2543",6390
"666","2544",12770
"667","2545",13235
"668","2546",6305
"669","2547",8445
"670","2548",23860
"671","2551",11385
"672","2552",16160
"673","2553",12675
"674","2554",2565
"675","2555",9280
"676","2561",5535
"677","2562",11120
"678","2563",10450
"679","2564",11595
"680","2565",12385
"681","2566",6685
"682","2571",11190
"683","2572",9700
"684","2573",10630
"685","2574",7330
"686","2581",3165
"687","2582",9250
"688","2583",12190
"689","2584",7150
"690","2585",6935
"691","2586",8075
"692","2587",8430
"693","2591",7560
"694","2592",7095
"695","2593",8955
"696","2594",2030
"697","2595",10650
"698","2596",8035
"699","2597",9130
"700","2611",13935
"701","2612",9825
"702","2613",13680
"703","2614",12775
"704","2616",90
"705","2622",7985
"706","2623",6065
"707","2624",14760
"708","2625",14525
"709","2626",60
"710","2627",1535
"711","2628",13970
"712","2629",370
"713","2631",15295
"714","2632",3670
"715","2635",8430
"716","2636",4315
"717","2641",15030
"718","2642",8880
"719","2643",6080
"720","2645",8975
"721","2651",19035
"722","2652",14920
"723","2661",13260
"724","2662",6485
"725","2665",11895
"726","2671",13735
"727","2672",5960
"728","2673",3250
"729","2675",7825
"730","2676",4535
"731","2678",13130
"732","2681",14425
"733","2684",740
"734","2685",7870
"735","2691",14480
"736","2692",4245
"737","2693",1725
"738","2694",3285
"739","2711",4740
"740","2712",6140
"741","2713",6445
"742","2715",6015
"743","2716",10165
"744","2717",7850
"745","2718",8970
"746","2719",11875
"747","2721",11385
"748","2722",5545
"749","2723",3965
"750","2724",7165
"751","2725",5830
"752","2726",6255
"753","2727",5330
"754","2728",8465
"755","2729",12285
"756","2731",3595
"757","2735",75
"758","2741",12215
"759","2742",14860
"760","2743",6925
"761","2751",4870
"762","2752",380
"763","2761",10270
"764","2771",16815
"765","2801",8555
"766","2802",9680
"767","2803",9925
"768","2804",12095
"769","2805",11005
"770","2806",10010
"771","2807",10660
"772","2808",435
"773","2809",3385
"774","2811",11130
"775","2821",5440
"776","2825",1735
"777","2831",2615
"778","2841",9050
"779","2851",4340
"780","2855",650
"781","2861",7100
"782","2865",1695
"783","2871",12065
"784","2872",1630
"785","2901",9290
"786","2902",8510
"787","2903",8540
"788","2904",8215
"789","2905",6735
"790","2906",5570
"791","2907",14015
"792","2908",3360
"793","2909",3690
"794","2911",8205
"795","2912",6740
"796","2913",510
"797","2914",7820
"798","2921",2315
"799","2922",7125
"800","2923",6300
"801","2924",4270
"802","2925",7035
"803","2926",2585
"804","2931",6765
"805","2935",5905
"806","2941",7840
"807","2951",10535
"808","2952",1295
"809","2953",5905
"810","2954",2580
"811","2957",8640
"812","2959",2495
"813","2961",790
"814","2964",4455
"815","2965",1410
"816","2967",1815
"817","2968",150
"818","2969",2330
"819","2971",2940
"820","2973",1275
"821","2974",1375
"822","2975",995
"823","2977",955
"824","2981",3155
"825","2982",6675
"826","2983",9555
"827","2984",3725
"828","2985",4675
"829","2986",8245
"830","2987",7875
"831","2988",2995
"832","2989",820
"833","2991",13425
"834","2992",14370
"835","2993",14060
"836","2994",6840
"837","2995",3820
"838","3011",20440
"839","3012",6980
"840","3013",1095
"841","3014",7780
"842","3015",3115
"843","3016",3150
"844","3021",11820
"845","3022",10095
"846","3023",9775
"847","3024",9765
"848","3025",7410
"849","3026",7380
"850","3027",9970
"851","3028",7670
"852","3029",5770
"853","3031",8540
"854","3032",6485
"855","3033",4760
"856","3034",12080
"857","3035",6940
"858","3036",8015
"859","3037",7845
"860","3038",8130
"861","3039",10385
"862","3041",225
"863","3042",8255
"864","3043",7045
"865","3044",105
"866","3045",4835
"867","3046",335
"868","3047",70
"869","3051",8080
"870","3052",6455
"871","3053",10590
"872","3054",7790
"873","3055",8210
"874","3056",3380
"875","3059",13135
"876","3061",16045
"877","3062",8780
"878","3063",10565
"879","3064",1655
"880","3065",8270
"881","3066",10920
"882","3067",21430
"883","3068",23010
"884","3069",19015
"885","3071",20615
"886","3072",17120
"887","3073",13925
"888","3074",12310
"889","3075",14105
"890","3076",15035
"891","3077",17975
"892","3078",12835
"893","3079",16830
"894","3081",12325
"895","3082",12330
"896","3083",14310
"897","3084",2675
"898","3085",13850
"899","3086",12700
"900","3087",1800
"901","3088",20
"902","3089",1910
"903","3111",5350
"904","3112",11435
"905","3113",15
"906","3114",6325
"907","3115",15
"908","3116",3505
"909","3117",9605
"910","3118",6475
"911","3119",10280
"912","3121",3520
"913","3122",9595
"914","3123",7355
"915","3124",8080
"916","3125",295
"917","3131",15655
"918","3132",12815
"919","3133",2645
"920","3134",7565
"921","3135",12740
"922","3136",11600
"923","3137",13375
"924","3138",15
"925","3141",6185
"926","3142",5760
"927","3143",3005
"928","3144",7500
"929","3145",6830
"930","3146",4820
"931","3147",1730
"932","3151",10565
"933","3155",6630
"934","3161",9385
"935","3162",7450
"936","3165",NA
"937","3171",5920
"938","3172",1100
"939","3176",2575
"940","3181",12610
"941","3191",9950
"942","3192",13500
"943","3193",6415
"944","3194",6315
"945","3195",4970
"946","3196",NA
"947","3197",NA
"948","3198",NA
"949","3199",10
"950","3201",15855
"951","3202",7150
"952","3203",3735
"953","3204",7025
"954","3205",8485
"955","3206",10085
"956","3207",15185
"957","3208",5930
"958","3209",1885
"959","3211",1620
"960","3212",615
"961","3214",6305
"962","3216",1275
"963","3218",2485
"964","3221",5715
"965","3222",4150
"966","3223",13565
"967","3224",8415
"968","3225",8055
"969","3227",1440
"970","3231",4200
"971","3232",9915
"972","3233",7830
"973","3234",565
"974","3235",6605
"975","3237",1875
"976","3238",1915
"977","3241",7815
"978","3243",1540
"979","3244",2395
"980","3245",7475
"981","3247",6030
"982","3248",2205
"983","3249",1305
"984","3251",3660
"985","3252",2285
"986","3253",6340
"987","3255",5290
"988","3256",1100
"989","3257",2685
"990","3258",1740
"991","3261",10435
"992","3262",9815
"993","3263",4585
"994","3264",4480
"995","3265",1900
"996","3267",2035
"997","3271",4785
"998","3273",2115
"999","3274",3615
"1000","3281",9725
"1001","3284",3640
"1002","3286",4165
"1003","3291",8150
"1004","3292",485
"1005","3293",475
"1006","3295",9195
"1007","3297",7420
"1008","3299",3215
"1009","3311",17980
"1010","3312",11610
"1011","3313",5860
"1012","3314",16045
"1013","3315",18335
"1014","3316",790
"1015","3317",15115
"1016","3318",5975
"1017","3319",10515
"1018","3328",17605
"1019","3329",2235
"1020","3331",11370
"1021","3332",10035
"1022","3333",7100
"1023","3334",6230
"1024","3335",6245
"1025","3336",65
"1026","3341",9670
"1027","3342",6315
"1028","3343",6640
"1029","3344",10065
"1030","3351",9185
"1031","3352",3365
"1032","3353",5925
"1033","3354",2395
"1034","3355",5730
"1035","3356",5580
"1036","3361",6650
"1037","3362",11245
"1038","3363",7955
"1039","3364",405
"1040","3366",735
"1041","3371",12920
"1042","3372",4765
"1043","3373",1075
"1044","3381",4930
"1045","3401",12205
"1046","3402",9490
"1047","3403",1930
"1048","3404",9795
"1049","3405",3625
"1050","3411",8280
"1051","3412",1215
"1052","3413",285
"1053","3415",1320
"1054","3417",9975
"1055","3421",8370
"1056","3425",755
"1057","3431",8255
"1058","3432",6585
"1059","3433",3655
"1060","3434",8740
"1061","3435",6035
"1062","3436",6460
"1063","3437",13415
"1064","3438",10225
"1065","3439",2595
"1066","3441",2855
"1067","3442",4340
"1068","3443",7450
"1069","3444",290
"1070","3445",5025
"1071","3446",8940
"1072","3447",715
"1073","3448",9070
"1074","3449",645
"1075","3451",13130
"1076","3452",15045
"1077","3453",9120
"1078","3454",13165
"1079","3455",510
"1080","3461",3890
"1081","3464",380
"1082","3465",2095
"1083","3466",1665
"1084","3467",720
"1085","3471",3905
"1086","3474",2435
"1087","3481",8065
"1088","3511",9580
"1089","3512",8955
"1090","3513",6935
"1091","3514",7585
"1092","3515",6340
"1093","3521",7620
"1094","3522",9000
"1095","3523",10615
"1096","3524",11370
"1097","3525",6410
"1098","3526",12410
"1099","3527",13455
"1100","3528",15
"1101","3531",11430
"1102","3532",7055
"1103","3533",9245
"1104","3534",1830
"1105","3541",11700
"1106","3542",150
"1107","3543",11700
"1108","3544",23525
"1109","3545",2375
"1110","3546",215
"1111","3551",7245
"1112","3552",7780
"1113","3553",7085
"1114","3554",7740
"1115","3555",8520
"1116","3561",9160
"1117","3562",8335
"1118","3563",7790
"1119","3564",9520
"1120","3565",45
"1121","3566",355
"1122","3571",10320
"1123","3572",11670
"1124","3573",5055
"1125","3581",9940
"1126","3582",9525
"1127","3583",6050
"1128","3584",7400
"1129","3585",185
"1130","3601",7290
"1131","3602",3450
"1132","3603",2665
"1133","3604",2520
"1134","3605",5820
"1135","3606",865
"1136","3607",13595
"1137","3608",3355
"1138","3611",615
"1139","3612",1790
"1140","3615",1185
"1141","3621",10680
"1142","3625",190
"1143","3626",725
"1144","3628",3465
"1145","3631",490
"1146","3632",4480
"1147","3633",1985
"1148","3634",505
"1149","3641",11720
"1150","3642",3085
"1151","3643",1470
"1152","3645",9600
"1153","3646",795
"1154","3648",7550
"1155","3651",145
"1156","3652",620
"1157","3653",40
"1158","3701",6465
"1159","3702",3945
"1160","3703",6145
"1161","3704",10140
"1162","3705",10125
"1163","3706",5270
"1164","3707",5990
"1165","3708",6800
"1166","3709",325
"1167","3711",1880
"1168","3712",3305
"1169","3721",8445
"1170","3722",4635
"1171","3723",10145
"1172","3731",6060
"1173","3732",4820
"1174","3734",4495
"1175","3735",1750
"1176","3737",1960
"1177","3738",4905
"1178","3739",1570
"1179","3741",9475
"1180","3742",9410
"1181","3743",4840
"1182","3744",1055
"1183","3749",285
"1184","3751",9090
"1185","3752",12715
"1186","3754",815
"1187","3755",9755
"1188","3761",4970
"1189","3762",8430
"1190","3763",2335
"1191","3764",5440
"1192","3765",5305
"1193","3766",7215
"1194","3768",6215
"1195","3769",7770
"1196","3771",12005
"1197","3772",20770
"1198","3773",3455
"1199","3774",5975
"1200","3775",295
"1201","3776",1705
"1202","3781",12150
"1203","3784",1525
"1204","3785",1590
"1205","3791",2720
"1206","3792",150
"1207","3794",740
"1208","3811",7465
"1209","3812",12720
"1210","3813",15045
"1211","3814",6005
"1212","3815",11610
"1213","3816",12060
"1214","3817",12065
"1215","3818",10775
"1216","3819",645
"1217","3821",660
"1218","3822",7665
"1219","3823",10950
"1220","3824",14585
"1221","3825",14430
"1222","3826",10075
"1223","3828",10100
"1224","3829",4865
"1225","3831",13430
"1226","3832",5390
"1227","3833",7695
"1228","3834",2070
"1229","3835",380
"1230","3836",130
"1231","3841",6120
"1232","3842",7060
"1233","3843",6570
"1234","3844",8980
"1235","3845",10425
"1236","3846",1790
"1237","3847",1005
"1238","3848",3990
"1239","3849",3440
"1240","3851",11990
"1241","3852",5490
"1242","3853",10375
"1243","3861",9990
"1244","3862",13630
"1245","3863",7680
"1246","3864",4260
"1247","3871",9800
"1248","3881",11100
"1249","3882",13870
"1250","3886",2225
"1251","3888",3400
"1252","3891",4925
"1253","3892",5205
"1254","3893",6085
"1255","3894",5560
"1256","3895",NA
"1257","3896",390
"1258","3897",1470
"1259","3898",190
"1260","3899",70
"1261","3901",10475
"1262","3902",10430
"1263","3903",7400
"1264","3904",13320
"1265","3905",14225
"1266","3906",6900
"1267","3907",6690
"1268","3911",14955
"1269","3912",580
"1270","3921",4305
"1271","3922",395
"1272","3925",10345
"1273","3927",5755
"1274","3931",14635
"1275","3941",10680
"1276","3945",3320
"1277","3947",2530
"1278","3951",4610
"1279","3953",1500
"1280","3956",7795
"1281","3958",5470
"1282","3959",1495
"1283","3961",9460
"1284","3962",8635
"1285","3971",8050
"1286","3972",10945
"1287","3981",7365
"1288","3984",6155
"1289","3985",2605
"1290","3989",15
"1291","3991",17980
"1292","3992",5915
"1293","3993",4975
"1294","3994",14475
"1295","3995",3955
"1296","3997",685
"1297","3998",2110
"1298","3999",750
"1299","4001",10925
"1300","4002",2330
"1301","4003",7885
"1302","4004",45
"1303","4005",5935
"1304","4006",3625
"1305","4007",9475
"1306","4011",1780
"1307","4012",1410
"1308","4013",740
"1309","4014",1135
"1310","4016",185
"1311","4017",120
"1312","4021",5115
"1313","4023",660
"1314","4024",1600
"1315","4031",2160
"1316","4032",800
"1317","4033",5940
"1318","4041",7350
"1319","4043",6340
"1320","4051",5210
"1321","4053",1165
"1322","4054",1040
"1323","4061",1665
"1324","4062",175
"1325","4063",420
"1326","4064",1080
"1327","4101",7685
"1328","4102",7955
"1329","4103",1450
"1330","4104",70
"1331","4105",10725
"1332","4106",1540
"1333","4107",515
"1334","4111",650
"1335","4112",3350
"1336","4115",380
"1337","4116",2640
"1338","4117",515
"1339","4119",505
"1340","4121",1190
"1341","4122",865
"1342","4124",1540
"1343","4125",3795
"1344","4126",1005
"1345","4128",3005
"1346","4131",4215
"1347","4132",5150
"1348","4133",7535
"1349","4141",5565
"1350","4142",8030
"1351","4143",6495
"1352","4145",1650
"1353","4147",3240
"1354","4151",580
"1355","4152",900
"1356","4153",3375
"1357","4155",340
"1358","4156",900
"1359","4157",570
"1360","4158",2070
"1361","4161",2375
"1362","4163",240
"1363","4171",2810
"1364","4174",1050
"1365","4175",2910
"1366","4176",1080
"1367","4181",2385
"1368","4182",475
"1369","4184",1185
"1370","4185",570
"1371","4191",11005
"1372","4194",5660
"1373","4196",2105
"1374","4197",1215
"1375","4201",5870
"1376","4202",75
"1377","4203",270
"1378","4204",5260
"1379","4205",9775
"1380","4206",3120
"1381","4207",9850
"1382","4208",3590
"1383","4209",1350
"1384","4211",775
"1385","4212",135
"1386","4213",855
"1387","4214",2150
"1388","4221",1440
"1389","4223",1960
"1390","4225",1810
"1391","4231",3955
"1392","4233",3160
"1393","4235",805
"1394","4241",3425
"1395","4243",1040
"1396","4245",1540
"1397","4247",875
"1398","4251",11575
"1399","4254",6120
"1400","4255",3735
"1401","4261",7000
"1402","4264",3205
"1403","4265",1715
"1404","4266",895
"1405","4267",430
"1406","4268",770
"1407","4269",465
"1408","4271",2625
"1409","4273",4280
"1410","4281",2745
"1411","4283",1645
"1412","4284",2005
"1413","4285",4620
"1414","4286",3810
"1415","4287",290
"1416","4288",350
"1417","4301",9530
"1418","4302",1245
"1419","4303",1260
"1420","4305",585
"1421","4306",2760
"1422","4307",2375
"1423","4308",325
"1424","4311",3795
"1425","4315",965
"1426","4316",770
"1427","4317",790
"1428","4318",1290
"1429","4321",1015
"1430","4322",1310
"1431","4323",345
"1432","4325",1490
"1433","4326",305
"1434","4327",260
"1435","4328",4215
"1436","4331",6555
"1437","4332",4015
"1438","4333",5235
"1439","4334",3100
"1440","4335",7710
"1441","4336",6990
"1442","4337",9580
"1443","4338",105
"1444","4339",1380
"1445","4341",5330
"1446","4351",1670
"1447","4352",510
"1448","4353",1865
"1449","4354",1040
"1450","4356",2440
"1451","4357",1610
"1452","4361",2610
"1453","4363",1485
"1454","4364",1390
"1455","4365",1460
"1456","4371",3475
"1457","4373",875
"1458","4374",1635
"1459","4381",7910
"1460","4382",8325
"1461","4383",3205
"1462","4384",5465
"1463","4385",5205
"1464","4386",3930
"1465","4387",560
"1466","4388",10235
"1467","4389",550
"1468","4401",7140
"1469","4411",2990
"1470","4413",4515
"1471","4414",1435
"1472","4415",610
"1473","4416",4895
"1474","4417",1740
"1475","4421",9385
"1476","4423",510
"1477","4424",3090
"1478","4431",4690
"1479","4433",720
"1480","4434",965
"1481","4435",595
"1482","4436",660
"1483","4437",370
"1484","4438",570
"1485","4441",1220
"1486","4443",630
"1487","4444",510
"1488","4451",5520
"1489","4453",2045
"1490","4454",1490
"1491","4455",1325
"1492","4456",1810
"1493","4458",1710
"1494","4461",11495
"1495","4462",7130
"1496","4463",7595
"1497","4464",2580
"1498","4465",920
"1499","4471",2295
"1500","4472",1150
"1501","4474",550
"1502","4475",815
"1503","4481",3440
"1504","4482",25
"1505","4484",2090
"1506","4485",480
"1507","4486",1575
"1508","4491",1250
"1509","4493",2195
"1510","4494",350
"1511","4501",4635
"1512","4503",955
"1513","4504",390
"1514","4505",460
"1515","4506",685
"1516","4507",1455
"1517","4508",530
"1518","4511",4550
"1519","4513",715
"1520","4515",2345
"1521","4521",1580
"1522","4522",190
"1523","4524",2385
"1524","4525",265
"1525","4527",2315
