"","pc4","n"
"1","1011",10010
"2","1012",9120
"3","1013",23020
"4","1014",4950
"5","1015",14965
"6","1016",11355
"7","1017",13550
"8","1018",23430
"9","1019",20630
"10","1021",7040
"11","1022",5160
"12","1023",4610
"13","1024",14175
"14","1025",16485
"15","1026",550
"16","1027",540
"17","1028",605
"18","1031",9620
"19","1032",6425
"20","1033",14680
"21","1034",14935
"22","1035",11025
"23","1036",2755
"24","1037",145
"25","1041",NA
"26","1042",5
"27","1043",1185
"28","1044",NA
"29","1045",NA
"30","1046",125
"31","1047",30
"32","1051",13170
"33","1052",11980
"34","1053",16495
"35","1054",17300
"36","1055",20940
"37","1056",20270
"38","1057",17290
"39","1058",15750
"40","1059",7110
"41","1060",9925
"42","1061",16995
"43","1062",15585
"44","1063",12455
"45","1064",16815
"46","1065",12135
"47","1066",19130
"48","1067",20425
"49","1068",18330
"50","1069",26255
"51","1071",12735
"52","1072",13835
"53","1073",13395
"54","1074",8370
"55","1075",10470
"56","1076",11390
"57","1077",10120
"58","1078",14690
"59","1079",14700
"60","1081",5800
"61","1082",12790
"62","1083",8735
"63","1086",4920
"64","1087",21045
"65","1091",16850
"66","1092",8560
"67","1093",10130
"68","1094",12145
"69","1095",15645
"70","1096",5935
"71","1097",16360
"72","1098",15515
"73","1101",1060
"74","1102",25765
"75","1103",14305
"76","1104",15840
"77","1105",2810
"78","1106",17905
"79","1107",11570
"80","1108",3135
"81","1109",1675
"82","1111",15220
"83","1112",14305
"84","1113",3450
"85","1114",300
"86","1115",5270
"87","1117",15
"88","1118",110
"89","1119",110
"90","1121",10405
"91","1127",850
"92","1131",8920
"93","1132",13820
"94","1135",7340
"95","1141",9755
"96","1145",330
"97","1151",2770
"98","1153",305
"99","1154",125
"100","1156",1730
"101","1161",8140
"102","1165",2615
"103","1171",14625
"104","1175",915
"105","1181",21615
"106","1182",3890
"107","1183",15295
"108","1184",625
"109","1185",12760
"110","1186",14500
"111","1187",18500
"112","1188",7315
"113","1189",515
"114","1191",8880
"115","1211",10230
"116","1212",3710
"117","1213",7890
"118","1214",7640
"119","1215",10240
"120","1216",9050
"121","1217",7800
"122","1218",4165
"123","1221",9500
"124","1222",11400
"125","1223",12805
"126","1231",9350
"127","1241",6595
"128","1243",1410
"129","1244",1490
"130","1251",11080
"131","1252",355
"132","1261",11125
"133","1262",1600
"134","1271",8360
"135","1272",6270
"136","1273",8690
"137","1274",6345
"138","1275",2005
"139","1276",7510
"140","1277",2010
"141","1309",35
"142","1311",4860
"143","1312",6935
"144","1313",4210
"145","1314",6825
"146","1315",4880
"147","1316",4070
"148","1317",4070
"149","1318",9490
"150","1319",7335
"151","1321",9695
"152","1322",140
"153","1323",6260
"154","1324",10455
"155","1325",10675
"156","1326",11100
"157","1327",5
"158","1328",9910
"159","1329",NA
"160","1331",195
"161","1332",10
"162","1333",12450
"163","1334",2465
"164","1335",12470
"165","1336",9805
"166","1338",9670
"167","1339",11305
"168","1341",4070
"169","1343",1605
"170","1349",5245
"171","1351",2010
"172","1352",1695
"173","1353",4975
"174","1354",3160
"175","1355",3070
"176","1356",2750
"177","1357",3440
"178","1358",700
"179","1359",2660
"180","1361",4665
"181","1362",990
"182","1363",16150
"183","1364",NA
"184","1381",5330
"185","1382",10315
"186","1383",3565
"187","1384",4385
"188","1391",8260
"189","1393",1580
"190","1394",5570
"191","1396",1460
"192","1398",5530
"193","1399",3030
"194","1401",4760
