name,c00_infant_mortality_educ,c00_neonatal_mortality_educ,c00_perinatal_mortality_educ,c00_preterm_birth_educ,c00_sga_educ,c11_class_foreign_born_parents_educ,c11_class_havo_test_educ,c11_class_income_above_75th_educ,c11_class_income_below_25th_educ,c11_class_income_below_50th_educ,c11_class_language_educ,c11_class_math_educ,c11_class_reading_educ,c11_class_size_educ,c11_class_vmbo_gl_test_educ,c11_class_vwo_test_educ,c11_havo_final_educ,c11_havo_test_educ,c11_language_educ,c11_living_space_pp_educ,c11_math_educ,c11_over_advice_educ,c11_reading_educ,c11_under_advice_educ,c11_vmbo_gl_final_educ,c11_vmbo_gl_test_educ,c11_vwo_final_educ,c11_vwo_test_educ,c11_youth_health_costs_educ,c11_youth_protection_educ,c16_havo_income,c16_living_space_pp_income,c16_secondary_class_foreign_born_parents_income,c16_secondary_class_income_above_75th_income,c16_secondary_class_income_below_25th_income,c16_secondary_class_income_below_50th_income,c16_vmbo_gl_income,c16_vwo_income,c16_youth_health_costs_income,c16_youth_protection_income,c21_hbo_followed_income,c21_high_school_attained_income,c21_living_with_parents_income,c21_uni_followed_income,c21_young_parents_income,c30_age_left_parents_income,c30_basic_mhc_income,c30_debt_income,c30_disability_income,c30_employed_income,c30_gifts_received_income,c30_hbo_attained_income,c30_homeowner_income,c30_home_wealth_income,c30_hospital_income,c30_hourly_wage_income,c30_hourly_wage_max_11_income,c30_hourly_wage_max_14_income,c30_household_income_income,c30_household_income_perc_income,c30_hrs_work_pw_income,c30_income_income,c30_income_perc_income,c30_living_space_pp_income,c30_permanent_contract_income,c30_pharma_income,c30_social_assistance_income,c30_specialist_mhc_income,c30_sum_gifts_income,c30_total_health_costs_income,c30_wealth_income,c30_wealth_no_home_income,c30_wo_attained_income
Culemborg,0.73,0.56,0.52,5.56,11.76,14.68,45.27,30.44,22.85,42.59,50.81,41.64,71.51,24.0,71.68,17.78,53.3,46.26,50.7,32.3,40.59,15.8,71.36,5.74,75.68,73.06,25.3,18.79,695.0,0.77,54.86,35.2,8.5,34.38,18.58,38.94,86.93,28.31,973.0,0.85,59.49,85.64,67.51,25.55,,23.1,8.14,14530.0,3.57,85.3,4.85,43.83,66.98,25835.0,53.46,21.1,5.04,18.35,90142.606,51.66,31.1,48677.704,51.58,45.2,69.74,60.74,2.71,5.64,3022.0,1101.0,80891.0,55056.0,18.27
Dalfsen,0.46,0.42,,5.37,6.72,0.77,49.12,20.75,19.37,51.62,58.25,44.31,74.09,23.0,76.11,18.32,46.46,49.77,57.25,36.9,44.55,11.05,74.12,11.59,74.36,76.8,18.12,18.68,737.0,,43.1,39.5,2.3,22.01,19.11,49.51,86.7,17.86,885.0,0.58,54.03,88.79,76.23,13.97,,23.6,5.69,11925.0,1.48,90.88,6.4,45.44,79.05,51513.0,47.45,20.5,3.79,15.92,91243.955,52.48,30.9,47798.082,51.66,49.1,75.4,53.73,0.95,3.55,3943.0,899.0,140582.0,89069.0,14.87
De Bilt,0.35,0.32,0.32,5.68,9.89,5.32,60.75,50.54,14.94,29.34,64.83,55.13,83.4,27.0,83.48,27.46,67.7,63.11,65.15,37.3,55.96,14.14,84.23,5.39,90.34,85.71,31.37,28.3,660.0,,66.69,40.1,6.54,49.61,15.81,30.21,92.0,38.5,1067.0,0.63,71.06,89.4,56.43,35.97,0.58,22.7,8.33,12278.0,2.2,87.69,9.55,55.38,68.28,60056.0,52.11,23.19,4.1,12.98,102311.206,56.87,31.6,55270.693,56.14,46.6,70.12,56.41,1.26,5.66,8232.0,880.0,158270.0,98214.0,28.79
De Fryske Marren,0.88,0.73,0.64,6.19,7.95,1.55,47.31,16.36,23.51,57.75,55.45,49.53,70.6,21.0,72.94,20.32,47.87,47.35,54.83,41.9,48.78,11.09,70.53,15.75,73.71,73.63,20.77,19.8,682.0,1.07,40.38,44.8,2.6,19.03,23.03,55.19,85.5,16.5,1088.0,0.76,51.59,86.16,67.41,12.42,,22.9,5.68,14430.0,1.64,88.41,5.51,42.69,73.41,24787.0,46.86,19.68,6.01,21.32,84771.213,47.5,30.3,43845.29,47.08,52.7,70.8,54.41,2.04,4.38,4045.0,1037.0,100701.0,75914.0,13.39
De Ronde Venen,0.4,0.31,,6.19,9.83,6.2,50.86,37.94,16.82,38.1,56.76,46.19,74.81,23.0,76.37,22.66,55.38,51.73,56.05,35.6,45.55,14.77,74.98,7.2,82.0,77.99,25.59,23.11,587.0,,58.14,36.7,8.81,34.94,19.18,40.33,89.4,26.21,1055.0,0.63,62.49,88.4,75.1,24.56,,24.0,7.5,12239.0,2.4,89.49,8.56,48.4,72.19,61176.0,49.02,22.11,3.8,13.45,100113.159,56.43,32.3,53443.05,55.88,43.9,71.2,56.12,1.29,5.28,8897.0,952.0,151678.0,90502.0,19.79
De Wolden,0.65,0.59,,7.0,8.19,0.64,45.44,19.09,21.63,56.4,50.23,40.84,68.16,22.0,70.01,14.32,42.61,45.78,50.0,45.4,41.11,12.66,67.65,12.88,66.8,71.82,18.22,15.8,664.0,,40.69,48.1,2.25,18.3,23.18,55.4,84.73,18.19,817.0,,50.47,87.32,71.1,14.36,,23.2,5.15,13212.0,1.77,90.57,7.22,41.53,79.69,31304.0,50.0,20.02,4.15,18.02,87877.728,49.86,30.4,46040.654,49.77,53.7,71.82,57.73,0.81,3.09,5305.0,875.0,89884.0,58580.0,13.99
Delft,0.61,0.51,0.45,6.87,11.99,20.31,51.37,34.34,26.38,44.57,59.27,47.09,72.28,24.0,74.93,22.99,54.96,51.25,58.41,30.6,45.73,16.48,72.14,5.39,78.25,75.56,27.36,23.09,846.0,1.25,53.15,32.5,17.64,35.03,23.51,42.17,88.04,27.37,1065.0,2.08,58.41,83.09,73.81,25.23,0.71,23.0,8.36,14121.0,2.32,86.81,4.35,43.19,65.31,32042.0,52.66,20.93,5.08,18.22,90590.697,51.08,31.6,48333.033,51.38,42.1,72.65,61.24,2.48,6.52,7508.0,1072.0,98319.0,66277.0,18.13
Den Helder,0.63,0.57,0.49,8.08,12.24,7.34,43.41,14.69,27.48,58.14,54.86,39.16,68.83,25.0,70.25,16.48,38.74,43.08,53.81,31.8,38.12,9.12,68.18,19.57,65.58,69.95,14.95,16.26,677.0,2.09,36.33,34.8,6.3,14.89,24.88,55.66,83.45,11.24,841.0,3.15,36.59,76.04,72.03,8.49,0.7,22.5,6.83,13972.0,2.63,84.46,2.44,32.6,70.56,11920.0,51.05,19.96,6.13,19.24,84483.626,47.6,31.3,46439.266,49.54,45.0,73.03,58.78,2.81,4.6,1240.0,1045.0,49864.0,37944.0,11.09
Deurne,0.8,0.7,0.49,7.1,10.37,2.94,45.28,19.84,22.86,56.07,48.66,40.99,69.38,25.0,72.52,16.19,40.61,45.07,47.96,42.7,40.12,6.77,69.22,13.71,66.42,71.66,13.15,15.22,605.0,,39.34,46.0,2.6,17.65,21.18,54.4,86.02,16.46,998.0,0.66,51.54,87.33,78.97,14.57,,24.2,5.77,11696.0,2.83,89.21,8.6,43.79,77.7,40933.0,52.83,20.65,6.26,17.33,91383.444,52.58,31.0,47887.697,51.36,54.3,74.41,60.04,1.29,3.63,7518.0,1008.0,144162.0,103229.0,14.76
Deventer,0.54,0.44,0.4,7.0,11.87,9.37,45.88,23.06,24.25,50.61,54.06,47.23,67.75,25.0,70.52,19.56,48.64,47.15,53.93,33.6,47.16,15.43,68.06,9.02,73.05,71.82,20.76,19.93,675.0,1.08,45.54,36.6,9.48,22.84,24.51,51.27,85.79,21.2,876.0,1.28,51.01,81.19,66.91,17.47,0.79,22.5,8.3,13398.0,4.0,82.37,4.47,41.44,64.29,25806.0,51.87,19.8,6.33,21.66,84133.866,46.79,30.4,43811.862,46.67,44.0,69.16,61.67,3.18,5.65,2393.0,951.0,71883.0,46076.0,14.64
Diemen,0.65,,,6.72,14.41,28.08,45.06,30.8,31.63,50.08,51.81,42.73,69.09,25.0,69.34,17.91,49.61,44.95,49.72,27.9,41.67,15.6,67.51,3.33,72.3,67.66,23.58,19.15,655.0,,55.82,29.4,30.39,28.5,34.36,52.56,87.56,26.32,896.0,,60.97,86.31,79.22,26.36,,24.1,9.96,15487.0,2.77,84.39,5.65,44.46,60.6,49265.0,50.82,21.03,5.61,17.2,88910.3,49.24,31.6,48678.725,52.51,41.5,66.62,58.73,3.49,7.49,6152.0,1141.0,102658.0,53393.0,19.51
Dijk en Waard,0.45,0.38,0.32,6.29,9.57,6.42,47.01,21.28,19.06,47.63,55.61,43.12,72.79,25.0,72.03,18.46,43.1,45.72,54.0,32.1,41.85,7.68,71.99,10.14,70.2,71.37,16.28,17.79,703.0,0.9,42.62,34.6,6.47,21.8,18.85,47.21,85.17,16.24,903.0,1.53,49.38,82.36,79.39,14.32,0.67,23.5,6.62,14370.0,2.61,87.48,5.48,47.05,75.36,37157.0,48.57,21.35,4.8,16.25,93032.193,52.74,31.4,50063.396,52.87,44.8,74.18,54.23,1.43,4.23,3717.0,942.0,106750.0,69593.0,17.39
Dinkelland,0.57,0.52,0.48,7.47,6.75,1.14,51.49,20.23,16.61,51.77,62.25,49.16,73.44,25.0,79.79,18.66,53.47,52.88,61.4,39.4,48.17,10.29,72.36,13.9,73.86,80.51,20.39,19.57,606.0,,45.39,41.1,3.31,22.21,19.13,48.48,85.94,16.79,1678.0,,60.11,90.07,81.02,15.24,,24.5,4.39,11179.0,1.49,93.08,10.86,54.69,81.93,52818.0,51.34,21.17,4.37,15.25,96301.848,56.35,31.7,49869.662,54.03,53.2,74.98,58.33,,3.2,8947.0,910.0,173684.0,120866.0,18.38
Doetinchem,0.45,0.3,0.22,7.55,10.57,5.17,45.31,19.37,23.21,51.76,52.65,44.74,73.81,24.0,73.42,16.69,43.5,45.91,52.14,33.5,43.69,9.39,73.88,14.72,70.28,74.3,18.37,16.68,680.0,1.03,43.73,36.2,4.05,18.95,23.32,54.22,84.4,15.38,960.0,1.18,54.56,82.88,67.22,16.62,0.47,22.9,7.85,13847.0,3.14,86.5,4.99,48.2,70.42,24220.0,50.65,21.12,5.05,18.31,90135.753,51.19,31.1,47827.651,50.71,48.3,73.73,60.62,1.88,5.69,4601.0,1002.0,79825.0,55606.0,17.89
Dongen,0.47,,,8.37,12.77,4.48,45.95,25.74,15.13,44.62,55.8,41.17,70.93,25.0,72.36,16.93,45.53,45.45,54.58,36.3,40.24,14.55,71.69,10.3,75.19,72.83,20.44,16.8,763.0,,46.98,38.6,7.4,24.22,19.28,47.74,85.86,18.38,1099.0,1.29,55.12,86.86,77.69,17.22,,23.6,4.86,12864.0,2.13,90.51,6.11,46.58,77.46,31649.0,50.99,20.75,4.96,18.63,91038.291,52.43,31.9,49810.491,53.27,48.0,78.21,62.03,1.4,3.75,7303.0,1391.0,109250.0,77601.0,17.73
Dordrecht,0.56,0.49,0.35,6.67,11.43,17.26,41.18,21.99,28.82,51.94,50.51,39.69,63.74,23.0,66.55,15.56,42.77,42.17,50.28,28.7,39.27,14.72,64.41,9.02,74.15,67.77,17.38,16.02,643.0,1.5,41.73,31.2,16.2,24.73,26.78,50.14,83.73,19.35,1008.0,2.21,47.31,78.85,77.18,16.72,0.69,22.9,7.76,15340.0,3.49,82.65,3.54,38.31,70.68,19474.0,52.6,20.71,5.52,20.21,87521.775,48.91,31.0,46416.013,48.73,41.4,70.78,62.08,3.62,5.82,2220.0,1047.0,63902.0,44429.0,14.38
Drechterland,0.67,,,6.05,8.31,1.23,43.77,22.71,15.53,46.88,54.05,41.75,69.13,23.0,71.44,16.8,38.41,42.88,53.72,39.8,41.67,7.72,68.3,13.65,67.97,71.66,16.46,17.21,745.0,,45.56,41.6,3.35,20.98,18.61,49.02,86.29,17.76,828.0,1.16,50.86,88.52,77.67,15.09,,23.7,3.45,11979.0,2.0,91.1,9.54,46.41,83.2,51073.0,43.96,22.94,4.56,14.66,99750.53,56.38,31.7,54148.714,55.76,47.5,75.57,48.41,0.91,2.45,8885.0,770.0,188994.0,137921.0,16.89
Dronten,0.63,0.55,0.55,6.65,10.65,5.97,46.57,20.73,23.18,51.49,56.7,43.92,72.83,25.0,71.12,17.73,45.46,46.46,54.9,36.5,42.89,12.66,71.91,12.43,72.35,71.03,18.75,17.37,540.0,1.06,43.0,39.6,5.97,23.42,21.19,48.14,86.0,15.34,1000.0,1.31,54.19,82.88,66.59,16.03,0.55,22.3,6.49,16548.0,2.93,86.07,4.06,45.67,72.09,26906.0,50.59,21.14,5.51,18.32,91513.366,52.21,31.0,48070.386,51.09,48.6,70.23,58.25,1.8,4.42,2767.0,1114.0,109492.0,82586.0,16.14
Druten,0.68,,,7.69,9.68,4.44,49.5,24.61,16.61,41.7,58.56,50.75,68.01,29.0,74.47,19.23,55.01,51.23,59.32,39.2,50.95,13.57,68.43,8.42,77.56,75.38,25.55,20.19,687.0,,50.12,41.3,4.65,25.02,17.92,44.55,87.91,23.48,848.0,1.06,55.61,86.47,72.19,18.15,,23.7,9.31,13378.0,2.5,86.95,4.43,45.63,73.29,28141.0,50.62,21.38,4.18,16.58,90686.334,51.65,31.6,49422.332,52.37,50.6,71.56,61.98,1.82,7.15,2380.0,1455.0,72513.0,44372.0,14.64
Edam-Volendam,0.55,0.41,0.38,4.97,8.7,2.83,49.32,23.84,12.68,45.14,57.84,46.68,67.79,26.0,75.71,18.95,44.39,49.3,57.27,35.1,46.64,10.32,68.26,9.04,73.49,76.23,15.19,19.28,729.0,,47.01,36.9,4.11,24.17,15.28,43.27,87.81,19.92,1147.0,0.59,52.85,87.47,89.46,19.94,,25.4,5.81,12548.0,2.62,91.37,8.02,36.13,82.54,61580.0,52.72,21.74,3.18,15.85,101775.043,57.09,30.0,52115.96,54.21,48.3,72.19,61.0,0.62,3.96,5285.0,1098.0,189753.0,128173.0,15.47
Ede,0.62,0.55,0.5,5.86,9.14,7.08,49.63,20.69,23.37,52.86,56.8,44.48,73.22,24.0,73.99,19.8,48.54,50.18,56.18,31.0,43.63,11.49,72.92,13.21,74.72,74.54,19.52,20.27,657.0,0.71,45.43,33.7,7.11,23.13,22.2,50.12,86.77,18.1,937.0,1.26,51.54,85.16,72.37,17.26,0.72,23.3,6.37,13388.0,2.39,86.7,4.76,39.01,74.03,40553.0,45.71,20.78,5.29,17.85,91265.128,51.61,30.6,46511.136,49.57,41.9,72.23,55.98,1.53,4.19,2766.0,888.0,125220.0,84667.0,14.17
Eemsdelta,0.87,0.76,0.59,6.72,11.96,4.87,42.72,12.39,31.76,63.91,55.81,40.72,67.37,18.0,69.43,16.06,39.66,42.28,54.46,41.8,39.6,11.32,66.12,17.71,65.58,69.05,12.77,15.84,661.0,1.12,36.64,45.4,4.93,14.42,29.48,59.78,82.77,13.83,1031.0,2.31,43.74,80.43,64.66,12.12,0.99,22.7,7.66,15381.0,2.5,83.44,2.99,38.8,67.56,12336.0,50.55,19.45,7.11,23.86,79201.769,44.1,30.0,42872.111,45.59,53.2,69.1,61.82,4.77,5.06,2162.0,1029.0,46424.0,34088.0,13.8
Eindhoven,0.43,0.38,0.32,6.88,12.89,18.26,49.04,26.85,27.53,50.09,56.11,48.25,71.06,25.0,73.95,20.92,47.29,49.28,55.06,36.1,47.27,10.88,70.54,9.18,74.28,74.36,19.0,20.89,677.0,1.01,47.77,38.2,14.25,30.27,24.29,46.33,86.95,20.78,1047.0,1.51,54.16,79.11,73.31,20.51,0.52,22.9,7.88,14902.0,3.98,82.56,4.07,43.09,62.8,29257.0,54.46,20.59,5.77,21.23,87238.252,48.25,31.0,45907.866,48.36,48.4,69.99,62.64,3.64,6.28,2764.0,1191.0,89175.0,59918.0,17.41
Elburg,0.83,0.67,0.63,6.19,7.86,0.85,49.61,13.01,25.69,61.15,58.93,47.64,69.36,22.0,75.3,19.9,43.57,49.48,58.25,33.5,45.44,6.11,68.17,24.16,67.72,75.36,12.67,19.79,522.0,,36.25,35.4,1.17,13.85,24.87,61.57,81.81,15.36,839.0,1.07,46.17,85.41,75.35,13.92,0.73,23.6,6.82,15098.0,2.23,88.07,3.93,37.18,76.59,28510.0,48.66,20.37,5.35,19.04,88678.3,51.33,30.3,45805.98,49.33,45.0,75.06,58.62,1.18,4.52,2455.0,1001.0,72770.0,44260.0,12.59
Emmen,0.51,0.43,0.36,7.58,11.07,4.3,40.15,12.28,32.12,64.1,48.38,39.33,60.74,22.0,67.93,14.58,38.86,40.37,47.47,34.8,38.57,13.25,59.91,13.62,66.63,68.25,12.75,14.56,809.0,1.31,35.85,37.2,3.74,14.25,29.61,60.74,82.45,12.78,1098.0,2.06,45.41,79.6,69.53,12.35,0.62,23.1,6.48,15938.0,3.48,83.3,3.78,36.41,72.5,15189.0,53.51,19.07,7.63,24.98,80912.874,45.29,30.3,42093.329,45.15,47.7,67.56,62.64,3.87,4.86,2599.0,1055.0,50240.0,35051.0,11.72
Enkhuizen,0.72,,,6.12,9.11,5.07,36.57,17.15,22.51,55.08,42.17,34.52,61.94,25.0,63.57,13.0,36.87,36.51,42.73,32.9,34.36,17.68,63.09,11.15,66.76,64.92,12.71,12.7,503.0,,38.85,35.7,2.91,19.58,19.09,50.48,83.04,14.35,734.0,1.46,47.33,79.9,72.18,14.95,,23.0,8.23,12939.0,3.65,85.94,4.48,39.06,70.9,28764.0,49.69,20.44,6.41,17.78,86726.769,49.05,30.6,47094.877,49.95,45.6,71.63,53.75,1.87,5.73,3624.0,858.0,82492.0,53728.0,14.58
Enschede,0.49,0.4,0.36,8.05,12.38,14.84,44.31,16.39,34.96,62.12,52.21,42.08,66.83,22.0,70.41,16.32,42.63,44.96,51.72,31.9,41.23,13.62,66.85,12.09,69.79,71.33,17.32,16.42,816.0,1.73,39.84,34.5,16.13,16.19,34.77,62.39,83.17,15.95,1035.0,2.36,47.44,77.26,69.09,12.43,0.77,22.2,8.36,14868.0,3.65,80.66,2.98,38.54,66.12,18480.0,52.58,19.32,7.62,26.67,79055.638,43.2,30.2,41162.927,43.78,44.2,67.92,61.91,4.4,5.77,1959.0,1158.0,52911.0,34430.0,14.7
Epe,0.75,0.63,0.59,5.45,10.74,4.2,48.6,18.57,25.61,56.58,56.96,44.3,73.01,23.0,74.23,21.53,41.99,49.02,56.06,50.1,43.43,9.15,73.1,18.29,69.6,74.77,17.73,21.14,606.0,0.97,43.17,55.4,3.5,22.07,22.56,52.51,85.68,19.71,1019.0,1.32,49.09,83.79,72.66,16.51,,23.6,6.36,12039.0,2.06,88.32,6.74,39.33,72.02,38983.0,49.65,19.81,5.7,22.2,88202.059,49.69,30.9,45539.057,48.77,49.4,72.69,57.47,1.63,4.62,4262.0,966.0,106834.0,67851.0,13.63
Ermelo,0.69,0.65,0.56,5.73,10.61,2.9,52.41,23.75,18.89,46.77,57.33,47.97,76.96,26.0,77.6,23.0,48.47,52.86,55.91,34.0,46.95,12.92,76.7,15.19,78.74,77.42,18.58,22.78,644.0,1.58,45.58,34.3,3.53,23.57,19.9,48.07,88.17,20.17,854.0,1.81,50.92,82.2,70.03,16.76,0.92,23.0,8.11,9995.0,1.74,84.62,4.92,41.8,71.91,43788.0,47.45,21.02,4.65,15.64,90225.664,50.67,30.3,45882.908,48.83,43.8,72.01,57.54,1.44,6.37,3373.0,881.0,147917.0,104129.0,15.26
Etten-Leur,0.55,0.53,0.45,7.47,12.61,8.27,48.54,27.02,19.84,44.69,54.83,45.66,73.04,25.0,74.64,19.15,51.33,49.23,54.58,35.4,45.28,15.33,73.31,7.2,78.24,75.44,24.04,19.3,686.0,0.59,49.38,37.6,7.72,26.7,19.52,46.01,88.52,20.04,909.0,1.14,53.24,83.15,78.17,13.97,0.46,23.8,7.23,11348.0,2.27,87.85,5.79,47.35,72.15,39597.0,50.53,20.99,4.55,15.54,92413.055,53.06,32.1,49721.788,53.36,48.3,74.8,61.09,2.17,5.26,4434.0,1039.0,100483.0,60886.0,15.81
Geldrop-Mierlo,0.3,,,7.64,11.81,5.84,46.35,28.51,21.38,47.14,53.35,43.17,69.48,26.0,72.17,18.67,47.9,47.66,52.77,38.6,42.62,13.26,69.69,8.25,77.05,72.05,17.43,19.65,656.0,1.04,46.53,41.6,7.03,31.73,20.3,43.63,87.07,18.98,927.0,0.81,55.05,82.39,74.53,18.77,,23.4,6.09,14843.0,2.9,87.17,7.44,46.23,72.38,30727.0,51.82,21.25,4.11,16.32,91121.564,52.09,31.7,48355.108,51.81,51.2,73.19,59.96,2.4,5.14,5013.0,1221.0,88252.0,57525.0,17.62
Gemert-Bakel,0.58,0.47,,6.71,11.03,2.28,48.13,19.44,19.13,50.63,57.63,47.26,71.07,23.0,74.76,19.79,46.22,49.62,57.96,42.9,47.56,9.98,71.66,10.41,74.67,75.87,18.67,20.55,547.0,,45.55,45.6,1.89,18.53,21.12,52.99,86.04,18.73,887.0,1.12,49.55,86.19,79.54,13.59,,24.3,5.74,16174.0,2.03,90.08,8.55,42.62,77.64,52429.0,50.81,20.5,4.12,16.99,90319.925,52.78,31.1,46850.047,50.7,53.8,76.36,59.12,1.37,3.89,5719.0,1544.0,144355.0,91926.0,14.88
Gennep,1.04,0.96,0.89,6.5,10.01,4.42,44.2,17.98,19.93,52.29,50.08,39.89,72.81,25.0,71.6,16.04,33.62,45.02,48.55,41.9,37.91,8.9,73.11,18.28,62.61,72.67,12.61,16.9,741.0,,39.4,43.4,4.48,20.68,20.5,51.17,85.39,13.79,1139.0,1.14,51.17,84.86,70.12,14.65,,23.4,5.94,12434.0,3.15,87.15,6.42,43.76,70.15,33151.0,48.24,20.25,6.85,20.55,86699.968,48.53,30.7,47384.518,48.85,51.2,72.01,58.67,2.3,4.0,4263.0,808.0,100174.0,67023.0,16.0
Gilze en Rijen,0.59,0.54,,6.42,12.56,6.74,42.92,22.42,20.96,47.92,51.09,39.83,68.26,25.0,69.33,17.43,46.92,44.86,50.85,34.8,39.89,16.15,69.04,10.58,76.0,70.12,19.93,17.96,586.0,1.44,44.47,36.9,10.18,26.34,20.4,45.69,85.35,18.25,1050.0,0.85,53.5,84.69,78.58,15.88,,23.8,5.13,14677.0,2.68,89.96,6.54,44.68,74.77,34118.0,49.52,20.88,4.55,16.02,94978.781,54.56,31.7,51231.644,53.13,46.2,75.92,58.22,2.68,3.57,5186.0,1103.0,86495.0,52378.0,15.39
Goeree-Overflakkee,0.47,0.38,0.36,5.45,9.47,0.77,44.9,21.85,15.8,46.13,56.44,40.93,67.41,22.0,71.48,15.78,41.49,46.3,55.87,35.2,40.42,11.06,67.57,16.88,73.3,72.49,15.02,16.64,972.0,,43.11,38.4,1.07,22.95,16.39,45.62,83.47,13.84,954.0,1.04,47.14,87.55,74.5,13.58,0.47,23.6,5.76,10956.0,1.68,89.6,5.62,35.57,77.17,32082.0,48.97,21.71,4.6,15.46,93583.815,54.58,30.9,49333.905,52.32,46.8,79.07,61.61,0.98,3.46,5497.0,1017.0,111656.0,79575.0,11.48
Goes,0.57,0.53,0.5,6.33,10.42,5.64,47.08,19.95,20.33,51.12,55.08,42.07,74.58,25.0,74.4,18.74,49.24,47.69,55.38,30.4,42.34,13.57,75.0,8.72,76.33,74.75,19.1,18.75,605.0,0.81,48.69,33.4,3.55,22.72,19.89,48.05,87.05,19.79,826.0,0.67,56.07,84.61,61.82,18.11,0.45,22.4,7.05,14188.0,2.08,87.29,4.48,44.21,71.94,24316.0,49.87,20.72,5.13,19.07,87864.264,49.76,30.7,47163.092,50.26,45.0,73.51,60.06,1.92,4.59,3519.0,968.0,82639.0,58323.0,16.18
Goirle,0.6,,,7.53,12.37,3.13,53.34,32.11,15.6,37.59,63.25,48.59,79.86,25.0,79.27,21.76,54.37,54.15,63.77,37.5,49.01,14.54,80.52,12.01,83.13,79.71,25.71,22.5,570.0,1.95,53.34,39.0,8.6,28.54,20.27,43.01,90.59,23.22,758.0,2.39,60.23,85.63,72.02,20.08,,23.6,8.44,13388.0,2.98,90.1,6.92,48.44,74.16,27272.0,51.0,21.17,4.65,18.6,94481.094,53.49,32.0,50547.968,53.74,48.1,73.25,58.55,1.31,5.4,3867.0,924.0,87928.0,60656.0,19.58
Gooise Meren,0.4,0.38,0.34,5.85,10.11,5.02,68.11,59.09,12.61,24.6,71.85,62.27,85.8,25.0,87.54,34.21,73.9,69.98,72.56,37.9,62.78,14.25,87.09,6.33,90.98,89.32,40.13,35.73,1206.0,0.65,73.05,41.8,5.19,55.03,13.38,26.48,94.09,42.89,1100.0,0.9,76.79,90.78,52.72,40.46,,22.5,8.11,14919.0,3.08,86.75,12.16,56.42,66.98,67659.0,52.53,23.78,4.08,13.63,105592.836,56.46,31.9,56144.563,56.6,42.0,66.17,59.55,2.19,5.8,11792.0,947.0,187493.0,119834.0,31.74
Gorinchem,0.83,0.68,0.65,7.06,11.35,13.82,45.15,25.69,23.48,49.32,54.39,45.34,72.02,24.0,70.13,17.87,47.71,46.85,54.91,30.3,45.0,13.01,73.64,7.76,77.01,71.92,19.34,19.05,545.0,1.19,47.27,33.3,8.83,25.14,19.7,46.55,87.27,21.54,873.0,1.75,54.9,82.04,73.29,20.54,0.72,23.3,7.94,15063.0,4.06,83.11,3.52,35.62,61.61,18670.0,49.82,20.07,6.73,20.79,87294.977,48.55,31.5,45342.587,48.28,42.9,71.2,63.9,2.8,5.37,2256.0,1169.0,65664.0,46994.0,14.32
Gouda,0.4,0.37,0.31,7.01,9.93,19.12,49.28,28.47,25.51,47.29,58.24,45.37,71.96,25.0,73.44,22.2,52.73,50.89,59.04,27.4,45.37,13.08,73.34,7.58,76.36,75.02,23.48,22.97,752.0,0.95,51.65,30.5,14.69,29.65,22.52,44.97,87.03,24.09,868.0,1.86,56.44,82.68,71.45,23.03,0.36,22.9,7.78,16135.0,2.73,83.87,4.27,43.42,66.44,26475.0,52.09,21.66,4.59,15.63,93078.722,51.65,31.3,48917.02,51.71,41.4,72.76,60.63,2.81,5.59,2514.0,1111.0,84126.0,57651.0,19.56
Groningen,0.68,0.57,0.5,6.36,10.99,7.86,53.52,26.92,28.57,50.11,59.78,48.55,76.19,24.0,77.02,22.54,54.3,53.91,59.17,36.3,47.81,12.52,76.1,10.23,76.11,77.66,25.81,22.98,627.0,1.11,53.19,39.2,6.59,27.61,26.09,48.61,86.91,26.7,936.0,1.61,56.05,79.9,56.19,24.12,1.04,22.3,9.17,15480.0,2.6,79.42,4.61,45.89,58.21,23231.0,50.67,20.1,8.13,23.99,78898.827,42.55,30.1,42946.69,45.12,46.5,66.1,59.42,7.29,6.85,3229.0,1013.0,68273.0,45042.0,20.73
Haarlem,0.53,0.44,0.38,6.07,10.75,13.84,53.15,37.87,22.81,40.82,59.22,48.83,77.2,26.0,76.72,21.84,56.47,53.51,58.81,30.9,48.09,17.83,77.36,6.83,82.51,76.86,28.57,21.6,639.0,1.07,58.18,33.1,9.5,40.89,18.84,36.28,90.77,29.34,896.0,1.55,57.45,81.7,72.46,25.9,0.39,23.0,9.21,11031.0,3.7,83.0,4.52,40.87,59.45,46820.0,53.35,20.57,5.75,19.98,86194.737,47.95,30.6,45433.5,47.8,39.7,68.27,60.14,3.11,6.51,2864.0,1120.0,86548.0,39728.0,17.55
Haarlemmermeer,0.39,0.31,0.29,6.97,10.86,10.37,50.31,35.82,14.95,35.56,58.79,46.55,74.37,25.0,76.12,20.05,53.39,51.32,58.34,33.1,46.16,14.81,74.6,7.22,81.2,76.93,22.87,20.4,883.0,0.42,53.2,34.8,11.91,34.86,16.93,37.24,88.17,21.87,1132.0,0.77,57.86,84.0,81.59,21.14,0.33,24.1,7.37,12620.0,2.73,88.13,6.37,45.54,73.5,50599.0,50.82,21.6,4.07,14.56,97902.261,55.23,31.8,51677.087,54.42,42.5,69.83,58.1,1.45,5.17,4735.0,897.0,119424.0,68825.0,18.76
